category,year,development
T,2000,"MIT’s Cynthia Breazeal develops Kismet, a robot that could recognize and simulate emotions."
T,2000,The Nomad robot explores remote regions of Antarctica looking for meteorite samples.
T,2000,"Interactive robopets (""smart toys"") become commercially available, realizing the vision of the 18th century novelty toy makers."
R,2000,"Cynthia Breazeal at MIT publishes her dissertation on Sociable machines, describing Kismet (robot), with a face that expresses emotions."
T,2000,"Honda's ASIMO robot, an artificially intelligent humanoid robot, is able to walk as fast as a human, delivering trays to customers in a restaurant setting."
C,2001,"A.I. Artificial Intelligence is released, a Steven Spielberg film about David, a childlike android uniquely programmed with the ability to love."
T,2002,iRobot's Roomba autonomously vacuums the floor while navigating and avoiding obstacles.
R,2004,DARPA introduces the DARPA Grand Challenge requiring competitors to produce autonomous vehicles for prize money.
R,2004,OWL Web Ontology Language W3C Recommendation (10 February 2004).
T,2004,NASA's robotic exploration rovers Spirit and Opportunity autonomously navigate the surface of Mars.
T,2004,"The first DARPA Grand Challenge, a prize competition for autonomous vehicles, is held in the Mojave Desert. None of the autonomous vehicles finished the 150-mile route."
T,2005,"Honda's ASIMO robot, an artificially intelligent humanoid robot, is able to walk as fast as a human, delivering trays to customers in restaurant settings."
T,2005,"Blue Brain is born, a project to simulate the brain at molecular detail."
T,2005,Recommendation technology based on tracking web activity or media usage brings AI to marketing. See TiVo Suggestions.
R,2006,"Oren Etzioni, Michele Banko, and Michael Cafarella coin the term “machine reading,” defining it as an inherently unsupervised “autonomous understanding of text.”"
R,2006,"Geoffrey Hinton publishes “Learning Multiple Layers of Representation,” summarizing the ideas that have led to “multilayer neural networks that contain top-down connections and training them to generate sensory data rather than to classify it,” i.e., the new approaches to deep learning."
R,2006,The Dartmouth Artificial Intelligence Conference: The Next 50 Years (AI@50) AI@50(14–16 July 2006)
T,2007,DARPA launches the Urban Challenge for autonomous cars to obey traffic rules and operate in an urban environment.
T,2007,"Fei Fei Li and colleagues at Princeton University start to assemble ImageNet, a large database of annotated images designed to aid in visual object recognition software research."
T,2007,Checkers is solved by a team of researchers at the University of Alberta.
R,2007,"Philosophical Transactions of the Royal Society, B – Biology, one of the world's oldest scientific journals, puts out a special issue on using AI to understand biological intelligence, titled Models of Natural Action Selection"
R,2009,"Rajat Raina, Anand Madhavan and Andrew Ng publish “Large-scale Deep Unsupervised Learning using Graphics Processors,” arguing that “modern graphics processors far surpass the computational capabilities of multicore CPUs, and have the potential to revolutionize the applicability of deep unsupervised learning methods.”"
T,2009,"Computer scientists at the Intelligent Information Laboratory at Northwestern University develop Stats Monkey, a program that writes sport news stories without human intervention."
T,2009,"Google starts developing, in secret, a driverless car. In 2014, it became the first to pass, in Nevada, a U.S. state self-driving test."
T,2010,"Microsoft launched Kinect for Xbox 360, the first gaming device to track human body movement, using just a 3D camera and infra-red detection, enabling users to play their Xbox 360 wirelessly. The award-winning machine learning for human motion capture technology for this device was developed by the Computer Vision group at Microsoft Research, Cambridge."
T,2010,"Launch of the ImageNet Large Scale Visual Recognition Challenge (ILSVCR), an annual AI object recognition competition."
T,2011,"Watson, a natural language question answering computer, competes on Jeopardy!and defeats two former champions."
T,2011,IBM's Watson computer defeated television game show Jeopardy! champions Rutterand Jennings.
T,2011,A convolutional neural network wins the German Traffic Sign Recognition competitionwith 99.46% accuracy (vs. humans at 99.22%).
R,2011,"Researchers at the IDSIA in Switzerland report a 0.27% error rate in handwriting recognition using convolutional neural networks, a significant improvement over the 0.35%-0.40% error rate in previous years."
T,2011,"Apple's Siri, a smartphone app that use natural language to answer questions, make recommendations and perform actions."
R,2012,"Jeff Dean and Andrew Ng reporton an experiment in which they showed a very large neural network 10 million unlabeled images randomly taken from YouTube videos, and “to our amusement, one of our artificial neurons learned to respond strongly to pictures of... cats.”"
T,2012,"A convolutional neural network designed by researchers at the University of Toronto achieve an error rate of only 16% in the ImageNet Large Scale Visual Recognition Challenge, a significant improvement over the 25% error rate achieved by the best entry the year before."
T,2012,"Google's Google Now, a smartphone app that use natural language to answer questions, make recommendations and perform actions."
R,2013,"NEIL, the Never Ending Image Learner, is released at Carnegie Mellon University to constantly compare and analyze relationships between different images.[52]"
R,2013,"Robot HRP-2 built by SCHAFT Inc of Japan, a subsidiary of Google, defeats 15 teams to win DARPA’s Robotics Challenge Trials. HRP-2 scored 27 out of 32 points in 8 tasks needed in disaster response. Tasks are drive a vehicle, walk over debris, climb a ladder, remove debris, walk through doors, cut through a wall, close valves and connect a hose.[51]"
R,2014,"Hector Levesque publishes ""On our best behavior"", which aregues that in the context of question-answering that what matters when it comes to the science of AI is not a good semblance of intelligent behaviour at all, but the behaviour itself, what it depends on, and how it can be achieved."
R,2014,"Microsoft's Cortana, a smartphone app that use natural language to answer questions, make recommendations and perform actions."
T,2015,Google DeepMind's AlphaGo (version: Fan) defeated 3 time European Go champion 2 dan professional Fan Hui by 5 games to 0.
R,2015,"An open letter to ban development and use of autonomous weapons signed by Hawking, Musk, Wozniak and 3,000 researchers in AI and robotics."
T,2017,"Google DeepMind revealed that AlphaGo Zero—an improved version of AlphaGo—displayed significant performance gains while using far fewer tensor processing units(as compared to AlphaGo Lee; it used same amount of TPU's as AlphaGo Master).[54]Unlike previous versions, which learned the game by observing millions of human moves, AlphaGo Zero learned by playing only against itself. The system then defeated AlphaGo Lee 100 games to zero, and defeated AlphaGo Master 89 to 11.[54] Although unsupervised learning is a step forward, much has yet to be learned about general intelligence. AlphaZero masters chess in 4 hours, defeating the best chess engine, StockFish 8. AlphaZero won 28 out of 100 games, and the remaining 72 games ended in a draw."
T,2017,An OpenAI-machined learned bot played at The International 2017 Dota 2 tournament in August 2017. It won during a 1v1 demonstration game against professional Dota 2player Dendi.
T,2017,"Poker AI Libratus individually defeated each of its 4 human opponents—among the best players in the world—at an exceptionally high aggregated winrate, over a statistically significant sample. In contrast to Chess and Go, Poker is an imperfect information game."
T,2017,Google DeepMind's AlphaGo (version: Master)[54] won 60–0 rounds on two public Gowebsites including 3 wins against world Go champion Ke Jie.
R,2017,"Asilomar Conference on Beneficial AI was held, to discuss AI ethics and how to bring about beneficial AI while avoiding the existential risk from artificial general intelligence."
T,2018,"Announcement of Google Duplex, a service to allow an AI assistant to book appointments over the phone. The LA Times judges the AI's voice to be a ""nearly flawless"" imitation of human-sounding speech."
R,2018,"The European Lab for Learning and Intelligent Systems (aka Ellis) proposed as a pan-European competitor to American AI efforts, with the aim of staving off a brain drain of talent, along the lines of CERN after World War II."
T,2018,"Alibaba language processing AI outscores top humans at a Stanford University reading and comprehension test, scoring 82.44 against 82.304 on a set of 100,000 questions."
T,2020,"In February 2020, Microsoft introduces its Turing Natural Language Generation (T-NLG), which is the 'largest language model ever published at 17 billion parameters'."
T,2020,"In November 2020, AlphaFold 2 by DeepMind, a model that performs predictions of protein structure, wins the CASP competition."
T,2020,"OpenAI introduces GPT-3, a state-of-the-art autoregressive language model that uses deep learning to produce a variety of computer codes, poetry, and other language tasks exceptionally similar, and almost indistinguishable from those written by humans. Its capacity was ten times greater than that of the T-NLG. It was introduced in May 2020, and was in beta testing in June 2020."
T,2022,"ChatGPT, an AI chatbot developed by OpenAI, debuts in November 2022. It is initially built on top of the GPT-3.5 large language model. While it gains considerable praise for the breadth of its knowledge base, deductive abilities, and the human-like fluidity of its natural language responses, it also garners criticism for, among other things, its tendency to 'hallucinate', a phenomenon in which an AI responds with factually incorrect answers with high confidence. The release triggers widespread public discussion on artificial intelligence and its potential impact on society."
T,2022,"A November 2022 class action lawsuit against Microsoft, GitHub and OpenAI alleges that GitHub Copilot, an AI-powered code editing tool trained on public GitHub repositories, violates the copyrights of the repositories' authors, noting that the tool is able to generate source code which matches its training data verbatim, without providing attribution."
T,2023,"By January 2023, ChatGPT has more than 100 million users, making it the fastest-growing consumer application to date."
R,2023,"On January 16, 2023, three artists, Sarah Andersen, Kelly McKernan, and Karla Ortiz, file a class-action copyright infringement lawsuit against Stability AI, Midjourney, and DeviantArt, claiming that these companies have infringed the rights of millions of artists by training AI tools on five billion images scraped from the web without the consent of the original artists."
R,2023,"On January 17, 2023, Stability AI is sued in London by Getty Images for using its images in their training data without purchasing a license."
R,2023,"Getty files another suit against Stability AI in a US district court in Delaware on February 6, 2023. In the suit, Getty again alleges copyright infringement for the use of its images in the training of Stable Diffusion, and further argues that the model infringes Getty's trademark by generating images with Getty's watermark."
T,2023,"OpenAI's GPT-4 model is released in March 2023 and is regarded as an impressive improvement over GPT-3.5, with the caveat that GPT-4 retains many of the same problems of the earlier iteration. Unlike previous iterations, GPT-4 is multimodal, allowing image input as well as text. GPT-4 is integrated into ChatGPT as a subscriber service. OpenAI claims that in their own testing the model received a score of 1410 on the SAT (94th percentile), 163 on the LSAT (88th percentile), and 298 on the Uniform Bar Exam (90th percentile)."
R,2023,"On March 7, 2023, Nature Biomedical Engineering writes that 'it is no longer possible to accurately distinguish' human-written text from text created by large language models, and that 'It is all but certain that general-purpose large language models will rapidly proliferate... It is a rather safe bet that they will change many industries over time.'"
T,2023,"In response to ChatGPT, Google releases in a limited capacity its chatbot Google Bard, based on the LaMDA and PaLM large language models, in March 2023."
R,2023,"On March 29, 2023, a petition of over 1,000 signatures is signed by Elon Musk, Steve Wozniak and other tech leaders, calling for a 6-month halt to what the petition refers to as 'an out-of-control race' producing AI systems that its creators can not 'understand, predict, or reliably control'."
R,2023,"In May 2023, Google makes an announcement regarding Bard's transition from LaMDA to PaLM2, a significantly more advanced language model."
R,2023,"In the last week of May 2023, a Statement on AI Risk is signed by Geoffrey Hinton"
R,2024,"On February 2, 2024, the Council is expected to vote on the AI Act, with subsequent votes by committees in the European Parliament on February 13, 2024, and the plenum in March or April 2024. The formal adoption and publication of the AI Act are anticipated in May or June 2024, marking significant legal developments in the regulation of AI and the metaverse."
R,2024,"On January 9, 2024, the European Commission launched an initiative to scrutinize competition in virtual worlds and generative AI, particularly focusing on major partnerships in the AI sector, including Microsoft's investment in OpenAI. This initiative reflects the EU's commitment to maintaining a competitive digital market."
T,2024,"OpenAI's advancements in 2024 include the introduction of Gemini 1.5 Flash, a lighter-weight AI model optimized for low latency and cost, announced at Google I/O 2024 by Sundar Pichai. This model is part of the broader Gemini suite, which is designed to be natively multimodal and capable of understanding and generating content across different formats."
R,2024,"In May 2024, Google announces the rollout of AI-generated summaries at the top of its search engine in the US, aiming to provide quick answers directly within search results. This development is part of Google's ongoing efforts to integrate more advanced AI capabilities into its services."
R,2024,"The European Parliament's Committee on the Internal Market and Consumer Protection adopted the AI Act on the date of publication, with a plenary vote scheduled for April 10-11, 2024. This act is the first comprehensive AI regulation in the world, following a risk-based approach to the deployment of AI system."
